f.airline,orig.name,dest.name
20304,IAH,CRP
20304,IAH,TUL
20304,ORD,FAR
20304,ORD,FAR
20304,ORD,SGF
20304,ORD,GRR
20304,ORD,GRR
20304,ORD,GRR
20304,ORD,GRR
20304,ORD,GRR
20304,SFO,RNO
20304,MSP,DAY
20304,MSP,DAY
20304,MSP,DAY
20304,MSP,DAY
20304,MSP,DAY
